date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:32	83100/83100	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_9.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_9.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:33	72258/72258	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_8.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_8.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:33	89192/89192	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_7.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_7.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:33	98660/98660	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_6.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_6.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:34	35581/35581	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_5.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_5.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:34	145577/145577	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_4.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_4.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:34	86207/86207	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_3.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_3.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:35	91157/91157	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_2_beta.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_2_beta.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:35	9161/9161	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/risk_disclosures.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/risk_disclosures.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:35	15874/15874	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/risks_of_electronic_trading_wi.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/risks_of_electronic_trading_wi.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:35	61659/61659	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/tos.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/tos.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:36	23452/23452	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/copyrights.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/copyrights.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:36	8200/8200	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2019:03:04%20GMT	https://ninjatrader.com/support/helpGuides/nt8/introduction.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/introduction.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:36	20781/20781	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/getting_started_operations.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/getting_started_operations.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:36	13854/13854	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/getting_help__support.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/getting_help__support.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:37	8065/8065	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2016:32:08%20GMT	https://ninjatrader.com/support/helpGuides/nt8/purchase_ninjatrader.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/purchase_ninjatrader.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:37	18407/18407	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2019:03:04%20GMT	https://ninjatrader.com/support/helpGuides/nt8/learning_to_use_ninjatrader.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/learning_to_use_ninjatrader.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:37	23433/23433	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/using_3rd_party_add-ons.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/using_3rd_party_add-ons.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:37	8363/8363	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/configuration.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/configuration.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:38	9893/9893	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/connecting.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/connecting.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:38	14470/14470	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/connecting_to_youraccount.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/connecting_to_youraccount.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:38	11896/11896	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/connecting_to_kinetick.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/connecting_to_kinetick.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:38	7788/7788	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/external_data_feed_connection.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/external_data_feed_connection.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:39	7260/7260	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/playback_connecting_connection.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/playback_connecting_connection.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:39	12286/12286	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/simulated_data_feed_connection.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/simulated_data_feed_connection.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
